btc,eth,bch,xrp,Y
43490,2417.4,237.662,0.50805,1
43575,2424.1,237.953,0.50922,1
43570,2423.4,237.736,0.5092,1
43593,2423.4,237.788,0.509,1
43607,2419.5,237.747,0.509,1
43700,2423.4,238.3,0.50998,1
43801,2426.3,238.689,0.51058,1
43819,2425.3,238.728,0.51058,1
44094,2432.7,239.416,0.51159,0
44147,2431.2,239.579,0.51199,0
44051,2430.1,242,0.5117,1
44061,2431.9,239.501,0.5114,1
44134,2431.8,239.697,0.51229,1
44110,2432.4,239.533,0.51229,1
44179,2443.4,240.006,0.51329,0
44109,2439.7,239.734,0.51249,1
44107,2438.7,239.668,0.51272,1
