btc,eth,bch,xrp
43148,2382.8,236.132,0.5092
43182,2382.6,236.201,0.509
43160,2381.4,236.1,0.5092
43169,2381.6,235.663,0.50888
43165,2381,235.606,0.50899
43208,2383.1,235.661,0.50928
43210,2382.8,235.643,0.5099
43253,2385,235.588,0.51029
43211,2385.4,235.265,0.5093
43185,2381.4,235.188,0.50944
43184,2382.9,235.329,0.50979
43180,2384.1,235.363,0.5099
43159,2380.2,235.179,0.50934
43153,2378.6,235.216,0.50949
43129,2378.5,235.351,0.50938
43178,2383.2,235.358,0.50937
43164,2382.9,235.317,0.50938
43185,2382.8,235.732,0.50953
43218,2384.3,235.621,0.50945
43207,2382.4,235.93,0.50919
43172,2377.7,235.663,0.50716
43176,2380.5,235.795,0.50761
.,.,.,.
43536,2411.1,238.105,0.508
43549,2411,238.138,0.5084
43533,2408.7,237.988,0.5083
43598,2415,238.024,0.5091
43646,2418.9,238.033,0.5093
43627,2417.9,238.798,0.5091
43638,2417.7,238.577,0.5091
43620,2420.9,238.769,0.509
43591,2419.6,238.437,0.5084
43570,2417.5,238.376,0.50779
43488,2414.6,237.989,0.507
43492,2420.7,237.85,0.50778
43452,2416,237.47,0.5078
43490,2417.4,237.662,0.50805
43575,2424.1,237.953,0.50922
43570,2423.4,237.736,0.5092
43593,2423.4,237.788,0.509
43607,2419.5,237.747,0.509
43700,2423.4,238.3,0.50998
43801,2426.3,238.689,0.51058
43819,2425.3,238.728,0.51058
44094,2432.7,239.416,0.51159
44147,2431.2,239.579,0.51199
44051,2430.1,242,0.5117
44061,2431.9,239.501,0.5114
44134,2431.8,239.697,0.51229
44110,2432.4,239.533,0.51229
44179,2443.4,240.006,0.51329
44109,2439.7,239.734,0.51249
44107,2438.7,239.668,0.51272
44194,2435,239.968,0.51346
44233,2436,240.138,0.5135
44155,2435.4,240.297,0.51358
44210,2432.6,240.257,0.51379
44234,2433.9,240.47,0.5139
44313,2432.6,240.717,0.5139
.,.,.,.
45162,2428.9,244.512,0.5171
45189,2430.9,244.606,0.51709
45185,2430,244.284,0.5173
45222,2430.7,244.335,0.5171
45247,2432.3,244.233,0.5175
45292,2432.3,244.308,0.51704
45295,2431,244.471,0.51759
45301,2430.1,244.289,0.51719
45258,2427.8,244.233,0.51635
45328,2429.4,244.42,0.51638
45350,2431,244.663,0.51719
45350,2428.4,244.407,0.51659
45306,2426,244.02,0.51659
45325,2425.3,244.006,0.5166
45384,2426.2,244.168,0.51673
45386,2429,244.311,0.51666
45311,2425.9,243.905,0.51579
45346,2422.5,243.932,0.51543
45319,2425.2,244.051,0.51555
45354,2425.4,244.24,0.51569
45435,2427.3,244.291,0.51624
45574,2432.7,244.881,0.51747
45441,2430,244.692,0.51709
45365,2426.2,244.238,0.51649
45453,2428.5,244.604,0.5174
45482,2428.6,244.832,0.51704
45456,2426.3,244.614,0.51636
45526,2430.8,244.848,0.51689
45502,2431.7,244.787,0.51664
45497,2428.9,244.836,0.5165
45443,2425.3,244.669,0.51581
45409,2425.8,244.444,0.51629
45381,2424.1,244.259,0.51583
45458,2427.8,244.732,0.51667
45424,2427.6,244.71,0.51677
45462,2428.7,244.999,0.51678
.,.,.,.
